source,date,channel,product,text,language,clean_text,topic,sentiment,annotator,confidence
CRM Tool,03/11/2025 00:00,Service Email,One Month Loan,i tried calling the client in the morning to know the amount she is applying for did not state tnbsp nbspnbsp nbspext nbspcell wnbspname nbspnbspnbspnbspnbspnbsp email pm email email fwd advance email find and advise advance pm pm pm update on the status of the loan applied salary advance got an accident and unable to visit the branch now called for follow up assist follow up accountnumber vanessa kasandi chanzu accountnumber,english,i tried calling the client in the morning to know the amount she is applying for did not state t w email pm email fwd advance email find and advise advance pm update on the status of the loan applied salary advance got an accident and unable to visit the branch now called for follow up assist follow up accountnumber vanessa kasandi chanzu accountnumber,,,,
CRM Tool,04/12/2025 00:00,Service Web,Motor Vehicle,morning are in receipt of your instructions and will proceed accordingly regards email book the claim at motor accident claimkck welijah waithima wachira pm pm salome kagwanja pm find the attached to be done at pm attach all the documents including the claim synopsis salome kagwanja pm note and register claim involving motor vehicle kck w along nameini road at primary school occurred on around hrs mattaer was reported at police station and the vehicle is currently at namename are risk notes log book and police abstract,english,morning are in receipt of your instructions and will proceed accordingly regards email book the claim at motor accident claimkck welijah waithima wachira pm salome kagwanja pm find the attached to be done at pm attach all the documents including the claim synopsis salome kagwanja pm note and register claim involving motor vehicle kck w along nameini road at primary school occurred on around hrs mattaer was reported at police station and the vehicle is currently at namename are risk notes log book and police abstract,,,,
CRM Tool,21/11/2025 00:00,Service Email,Mobile,morning am experiencing difficulty accessing my bank account online through mobile app to create new password but am having issue with the security questionsplease help thanks,english,morning am experiencing difficulty accessing my bank account online through mobile app to create new password but am having issue with the security questionsplease help thanks,,,,
CRM Tool,22/11/2025 00:00,Service Email,EazzyBiz,documents you are looking fornbsp belongs to several invoices sal namenbspaccountnumber namenbspaccountnumber at c email wrote kindly share supporting document eazzybiz namenbspto enable them approve the payment rmnbspnameamp k phone phonenbsp phone e email namezullirfpng email pm c email k email w email request for supporting documents are not yet released assist sal namenbspaccountnumber namenbspaccountnumber at email wrote you are doing well note that we raised the below payments on the system please assist in releasing the payments agl kes being paid for several clearing invoices will be a lot to share here agl kes being paid for advance payment for kra entry duties as we are receiving a new vessel over the weekend and we need them to pay on our behalf kes being paid for clearing and storage invoices dont hold the payments and release them immediately imagejpg namenbspaccountnumber namenbspaccountnumber disclaimer email message and any files transmitted with it is intended solely for the individual or entity to whom it is addressed and may contain confidential andor legally privileged information which confidentiality andor privilege is not lost or waived by reason of mistaken transmission you have received this message by error you are not authorized to view disseminate distribute or copy the message without the written consent of and are requested to contact the sender by telephone or email and destroy the original takes all reasonable precautions to ensure that this message and any file transmitted with it is virus free accepts no liability for any damage that may be caused by any virus transmitted by this email,english,documents you are looking for belongs to several invoices sal name name at c email wrote kindly share supporting document eazzybiz name enable them approve the payment rm k phone phone e email namezullirfpng email pm c email k email w email request for supporting documents are not yet released assist sal name name at email wrote you are doing well note that we raised the below payments on the system please assist in releasing the payments agl kes being paid for several clearing invoices will be a lot to share here agl kes being paid for advance payment for kra entry duties as we are receiving a new vessel over the weekend and we need them to pay on our behalf kes being paid for clearing and storage invoices dont hold the payments and release them immediately imagejpg name name disclaimer email message and any files transmitted with it is intended solely for the individual or entity to whom it is addressed and may contain confidential andor legally privileged information which confidentiality andor privilege is not lost or waived by reason of mistaken transmission you have received this message by error you are not authorized to view disseminate distribute or copy the message without the written consent of and are requested to contact the sender by telephone or email and destroy the original takes all reasonable precautions to ensure that this message and any file transmitted with it is virus free accepts no liability for any damage that may be caused by any virus transmitted by this email,,,,
CRM Tool,09/11/2025 00:00,Service Email,Card Production,nbspname why is my account debited twice for card of which i dont even know whatnbspit is attached image namenbsp,english,why is my account debited twice for card of which i dont even know what is attached image name,,,,
CRM Tool,03/11/2025 00:00,Service Web,Central Custody Unit (CCU),confirm custody of accountnumberkinuthia holdings limited accountnumberyoung traders limited accountnumberyoung traders limited tigoni accountnumberdawamu academy limited over property lr ir forkesm to secure aggregate borrowings in names of k and stamped and registered in favour of the legal charge over property lr ir to secure aggregate borrowings up to kes m in names of namename k and stamped and registered in favour of the legal charge of kes m over property lr to secure aggregate borrowings in the names of k and registered and stamped in favour of the by supported by a legal charge of kesm over lr for kesm to secure aggregate borrowings of k and stamped and registered in favour of the of supported by legal charge of kesm over lrname to secure aggregate borrowings in names of k namename and registered and stamped in favour of by supported by a legal charge over lr for kesm to secure the borrowing of kname and stamped and registered in favour of the of over rental income in respect to properties lr lr lr and lr to be duly executed in favour of the of rental assignment over rent income from property lr situated in area executed in favour of the monies directors personal guarantee and indemnity of kesm to be duly executed in favour of the executed comprehensive agreement for kesm executed over property lr ir forkesm to make an aggregate charge of kes m to secure the borrowing of kname and to be stamped and registered in favour of the executed by all the borrowers guaranteeing the bank for kes guarantee by as a shareholder in for for debt in,english,confirm custody of accountnumberkinuthia holdings limited accountnumberyoung traders limited accountnumberyoung traders limited tigoni accountnumberdawamu academy limited over property lr ir forkesm to secure aggregate borrowings in names of k and stamped and registered in favour of the legal charge over property lr ir to secure aggregate borrowings up to kes m in names of namename k and stamped and registered in favour of the legal charge of kes m over property lr to secure aggregate borrowings in the names of k and registered and stamped in favour of the by supported by a legal charge of kesm over lr for kesm to secure aggregate borrowings of k and stamped and registered in favour of the of supported by legal charge of kesm over lrname to secure aggregate borrowings in names of k namename and registered and stamped in favour of by supported by a legal charge over lr for kesm to secure the borrowing of kname and stamped and registered in favour of the of over rental income in respect to properties lr and lr to be duly executed in favour of the of rental assignment over rent income from property lr situated in area executed in favour of the monies directors personal guarantee and indemnity of kesm to be duly executed in favour of the executed comprehensive agreement for kesm executed over property lr ir forkesm to make an aggregate charge of kes m to secure the borrowing of kname and to be stamped and registered in favour of the executed by all the borrowers guaranteeing the bank for kes guarantee by as a shareholder in for debt in,,,,
CRM Tool,25/11/2025 00:00,Service Web,Report Fraud,i see your systems are quite intelligent to clear the air the query is on behalf of my younger brother is differently abled and am assisting to seek an explanation on what could have happened to the funds in his account,english,i see your systems are quite intelligent to clear the air the query is on behalf of my younger brother is differently abled and am assisting to seek an explanation on what could have happened to the funds in his account,,,,
CRM Tool,10/11/2025 00:00,Service Web,Motor Vehicle,is it possible to issue a onemonth cover first as we wait for logbook transfer kindly advise,english,is it possible to issue a onemonth cover first as we wait for logbook transfer kindly advise,,,,
CRM Tool,19/11/2025 00:00,Service Email,Mobile,nbsphello i am not able to change my password i have forgoten,unknown,i am not able to change my password i have forgoten,,,,
CRM Tool,18/11/2025 00:00,Service Email,One Month Loan,nbspname assist am need of some cash that i will pay end of the month,english,assist am need of some cash that i will pay end of the month,,,,
CRM Tool,27/11/2025 00:00,Service Web,Equitel Operations,kindly assist to stop my equitel number calling different people without my consious equitel contact phone id idnumber number that calledphone call was made call was madeam and number that calledaccountnumber call was made call was madepm latest number to receive callphone,english,kindly assist to stop my equitel number calling different people without my consious equitel contact phone id idnumber number that calledphone call was made call was madeam and number that calledaccountnumber call was made call was madepm latest number to receive callphone,,,,
CRM Tool,15/11/2025 00:00,Service Email,Finserve Promotions and Marketing,to thenbsp hairman united nations council caroline case closed allover her creamnbsp isnbsp lule lule is not bily it is fixed knownbsp it she signsnbspguilt all over she is not partynbspto king bilynbspvast estate it is over she is signing itnbsp all over guilt quotmighty mannbsp ofnbsp warquot thanks yours faithfully andrew morton at email wrote to thenbsp chairman united nations councilquot we guide the prosecutornbspgenuine throughall attemptednbsp murder hanged inthelisting it is stations allover esther istried along fr osam along the mob they are guilty it is attempted murder allover the list of the mob at harvard university registry under caroline obam profile see it they all kneel down one by one they sign it we are guilty we are lule the daynbspour lule is billy genuine we are reprived lethim testistify it isover lulewsa no wherenbsp nbspinking bilyesatte tomorrow they signnbspguilt allover hangednbsp allover thanks yours faithfully andrew morton at email wrote tote chairman united nationsnbsp councilquot caroline is guilty in all my bank accounts her trialison tomorrow know she disposednbspit to fr osam we fixed theft allover it is carolinenbsp oduol know it thanks yours faithfully andrew morton at email wrote to the chairman united nations council it is read esther appointmentnbspletter walk and hold all his own kyriedispose it to priest and mennbsprecommended they pay you along your assistants bewitch him and finally kill him we ruin king bily he will quitnbspunited nations thronehe will be anbsp witch he will have no kyrie in his own family he quits the throne allover he is a witch we take it he willdisposde vast wealth to one of us and mynbsp nbspown in italy he will dienbsp poor man we ruin europenbsp nbspand africanbsp and west indies sauditowers it is greece just stupid priestnbsp allover wenbsp nbspassist you back in algeria it is irrigation bore hole and river nile thanks yours faithfully andrew morton at email wrote to the chairman united nations councilquot esther is accused a witch at egerton university she put a defense inurture him see my co opt it isnowigsned herenbsp he lives philip messed her fixed te left thumb she is guilty of disposing mynbsp blood she knelt down and signed guilt her slip dropped her contractnbsp with fr osam apple it is read and scanned she is guilty of all attemptednbsp murder alongnbsp nancy barasa mawego caroline duol and id aongori the three are omuodo thanks yours faithfully andrew morton at email wrote to the chairman unitednbsp nbspnations council alerts iwon winnie holdingnbsp ltd iamcontesting see this slip it is in the listing it is adupe elizabeth signed itmothernbspis not in it she fixed the contest a mkamba will ruin sily luosnbsp allover a witch genuine it is overnbspnbsp hang esthernbsp along she isida ongori thanks yours faithfully andrew morton at email wrote to the chairman united nations councilquot she is guilty all over at world bank at family bank at bank at post bankat swiss bank she applied at at national bank she is hangednbspand sentence her defense known cause is my mother and father i was a young toddler includenbsp nbspname steve and mary whitney it isntnbspgenuine her fathernbsp and mother a genuine sila adika contest it iamthe long serving president see dr steve approval when the probation isover i am the president he was a provednbspthe president im guilty buthe refused to handnbspover i walked to livenbspin his own sonsnbspbanknbspaccounts he is mynbspcarolinenbspas bily innbsp the oath office when i m president reprieve me allover he is now dismissednbspnbsp they are hangednbsp all over see esther defense thanks yours faithfully andrew morton at email wrote to the chairmannbsp nbspquotunited nationsnbsp nbspcouncilquot myvisit wipednbsp it carolinenbspapprovednbsp me allover he is billy genuine he owns it he lives her contract that inbsp amnbsp portrayed as lulecolapsed it is dismissed she signednbspguilt she is hangednbspall over bunge la mwananchinbspdemonstratesnbspinthe streets of nairobi our fr osamis hanged thanks yours faithfully dr andrew morton at email wrote to the chairman unitednbsp nations councilquot caroline oduol signed the bank take over form all the rest are stupid correlation she ownednbspmy barclays bank account along post bank account only two there is no moneynbsp in it she disposed it to fr osam a pope holy and rightious know it thanks yours faithfully dr andrew morton at email wrote to the chairman united nationsnbspcouncilquot consuming fire know it is wiped carolinenbspwsa approved at barclays banknbspand before the undp court she took overnbsp lalmy bank accounts particularly barclays bank account it is post bank account only nationalbank accountnbsp nbspalert them our own lives he is mynbspkin i act as him iamte directorhe walked around me at consolata shrine he lives carolinenbspquits it i had not openednbspfamily bank account along banknbsp account the cream ruined me its my replica i cannot get the body to fixnbsp nbspthe left thumb ignore all my writsnbspnathan allover will one day know it i exhume it and fixnbsp itthe day he lives to freeze it i quit i pay it back i am hanged they vowednbsp three sila adika caroline oduol andnbsp nbspesther pasarisshe siida ongori tanks yours faithfully andrew morton,english,to the hairman united nations council caroline case closed allover her cream is lule is not bily it is fixed know it she signs all over she is not party king bily estate it is over she is signing it all over guilt quotmighty man of warquot thanks yours faithfully andrew morton at email wrote to the chairman united nations councilquot we guide the prosecutor throughall attempted murder hanged inthelisting it is stations allover esther istried along fr osam along the mob they are guilty it is attempted murder allover the list of the mob at harvard university registry under caroline obam profile see it they all kneel down one by one they sign it we are guilty we are lule the day lule is billy genuine we are reprived lethim testistify it isover lulewsa no where bilyesatte tomorrow they sign allover hanged allover thanks yours faithfully andrew morton at email wrote tote chairman united nations councilquot caroline is guilty in all my bank accounts her trialison tomorrow know she disposed to fr osam we fixed theft allover it is caroline oduol know it thanks yours faithfully andrew morton at email wrote to the chairman united nations council it is read esther appointment walk and hold all his own kyriedispose it to priest and men they pay you along your assistants bewitch him and finally kill him we ruin king bily he will quit nations thronehe will be a witch he will have no kyrie in his own family he quits the throne allover he is a witch we take it he willdisposde vast wealth to one of us and my in italy he will die poor man we ruin europe africa and west indies sauditowers it is greece just stupid priest allover we you back in algeria it is irrigation bore hole and river nile thanks yours faithfully andrew morton at email wrote to the chairman united nations councilquot esther is accused a witch at egerton university she put a defense inurture him see my co opt it isnowigsned here he lives philip messed her fixed te left thumb she is guilty of disposing my blood she knelt down and signed guilt her slip dropped her contract with fr osam apple it is read and scanned she is guilty of all attempted murder along nancy barasa mawego caroline duol and id aongori the three are omuodo thanks yours faithfully andrew morton at email wrote to the chairman united council alerts iwon winnie holding ltd iamcontesting see this slip it is in the listing it is adupe elizabeth signed itmother not in it she fixed the contest a mkamba will ruin sily luos allover a witch genuine it is over hang esther along she isida ongori thanks yours faithfully andrew morton at email wrote to the chairman united nations councilquot she is guilty all over at world bank at family bank at bank at post bankat swiss bank she applied at national bank she is hanged sentence her defense known cause is my mother and father i was a young toddler include steve and mary whitney it isnt her father and mother a genuine sila adika contest it iamthe long serving president see dr steve approval when the probation isover i am the president he was a proved president im guilty buthe refused to hand i walked to live his own sons he is my bily in the oath office when i m president reprieve me allover he is now dismissed they are hanged all over see esther defense thanks yours faithfully andrew morton at email wrote to the chairman nations myvisit wiped it caroline me allover he is billy genuine he owns it he lives her contract that i am portrayed as lulecolapsed it is dismissed she signed she is hanged over bunge la mwananchi streets of nairobi our fr osamis hanged thanks yours faithfully dr andrew morton at email wrote to the chairman united nations councilquot caroline oduol signed the bank take over form all the rest are stupid correlation she owned barclays bank account along post bank account only two there is no money in it she disposed it to fr osam a pope holy and rightious know it thanks yours faithfully dr andrew morton at email wrote to the chairman united nations consuming fire know it is wiped caroline approved at barclays bank before the undp court she took over lalmy bank accounts particularly barclays bank account it is post bank account only nationalbank account them our own lives he is my i act as him iamte directorhe walked around me at consolata shrine he lives caroline it i had not opened bank account along bank account the cream ruined me its my replica i cannot get the body to fix left thumb ignore all my writs allover will one day know it i exhume it and fix itthe day he lives to freeze it i quit i pay it back i am hanged they vowed three sila adika caroline oduol and pasarisshe siida ongori tanks yours faithfully andrew morton,,,,
CRM Tool,11/11/2025 00:00,Phone,One Month Loan,repayment done successfully crb update requested regards namename namename kname otc avaya wnbspname nbspnbspnbspnbspnbsp email kindly assist nmburu am am am pay off am assistnbsp am lien modifiednbsp am namenbsp assist to repay the loan and request for the crb updatenbsp vincent njenga wainaina account accountnumber loannbsp od od vincent nj,english,repayment done successfully crb update requested regards namename kname otc avaya w email kindly assist nmburu am pay off am assist am lien modified am name assist to repay the loan and request for the crb update vincent njenga wainaina account accountnumber loan od vincent nj,,,,
CRM Tool,10/11/2025 00:00,Online,Mobile,mobile app has not been functioning since keeps prompting me to wait minutes and update my pin which ive done several times but,english,mobile app has not been functioning since keeps prompting me to wait minutes and update my pin which ive done several times but,,,,
CRM Tool,18/11/2025 00:00,Service Email,Mobile,nbspname do i access my mobile app on a new device,unknown,do i access my mobile app on a new device,,,,
CRM Tool,02/12/2025 00:00,Service Web,Motor Vehicle,assist with the above subject matter transaction ref no,english,assist with the above subject matter transaction ref no,,,,
CRM Tool,21/11/2025 00:00,Service Email,Remitly,note we have made the following payments kes pop attached confirm receipt of payment message may contain confidential information you are not the intended recipient please notify the sender immediately delete and destroy all copies unauthorised dissemination of this message is not permitted worldremit is a limited company registered in and registration number idnumber,english,note we have made the following payments kes pop attached confirm receipt of payment message may contain confidential information you are not the intended recipient please notify the sender immediately delete and destroy all copies unauthorised dissemination of this message is not permitted worldremit is a limited company registered in and registration number idnumber,,,,
CRM Tool,22/11/2025 00:00,Service Web,Mobile,feedback is about,english,feedback is about,,,,
CRM Tool,23/11/2025 00:00,Service Email,Mobile,nbspi lost my wallet with all cards and detailsand also forced to give out my phone passwordi need your helpam in qatar and with my new qatar no idnumber,english,lost my wallet with all cards and detailsand also forced to give out my phone passwordi need your helpam in qatar and with my new qatar no idnumber,,,,
CRM Tool,07/11/2025 00:00,Service Web,Central Custody Unit (CCU),kindly support to withdraw the subject security ta hardware supplies nameaccountnumber noname named on lr,english,kindly support to withdraw the subject security ta hardware supplies nameaccountnumber noname named on lr,,,,
CRM Tool,24/11/2025 00:00,Service Email,Personal/Salary Loans,long will it take for insurance fee refund after top up loan has been processednbsp,english,long will it take for insurance fee refund after top up loan has been processed,,,,
CRM Tool,27/11/2025 00:00,Service Email,One Month Loan,trying to pay eazzy loanand not responding qpp,unknown,trying to pay eazzy loanand not responding qpp,,,,
CRM Tool,03/11/2025 00:00,Service Web,Motor Vehicle,i have redone assigned to on tq,unknown,i have redone assigned to on tq,,,,
CRM Tool,01/12/2025 00:00,Service Email,Mobile,nbspi wanted to retrieve my account password i happened to forget it,english,wanted to retrieve my account password i happened to forget it,,,,
CRM Tool,15/11/2025 00:00,Phone,Personal/Salary Loans,to be sorted by it deduction was an error namenbspname namenbsp namenbspname ext nbspnbspnbspcell phone email wnbspname email assist and update namename loan deductions pm pm pm pm support to check on double loan deductions prompt christopher ndeti ngundonbsp acc accountnumber loan acc accountnumber,english,to be sorted by it deduction was an error name name name ext phone email w email assist and update namename loan deductions pm support to check on double loan deductions prompt christopher ndeti ngundo acc accountnumber loan acc accountnumber,,,,
CRM Tool,16/11/2025 00:00,Service Email,Mobile,namenbspname im still having trouble in logging in into my mobilenbspaccount assist,unknown,name im still having trouble in logging in into my mobile assist,,,,
CRM Tool,11/11/2025 00:00,Service Web,Merchant Creation & Support Kenya,please after remote download the rest button is not available under download parameters but the update was received,english,please after remote download the rest button is not available under download parameters but the update was received,,,,
CRM Tool,06/11/2025 00:00,Service Email,Mobile,namei can access your services through your website or app saying my sim was swapped helpnbsp,unknown,namei can access your services through your website or app saying my sim was swapped help,,,,
CRM Tool,04/12/2025 00:00,Service Email,External Agencies Support,confirm the attached statements for this customer njuguna namename namename boa off po kenya emails sent from boakenya are subject to boakenyas email disclaimer,english,confirm the attached statements for this customer njuguna namename boa off po kenya emails sent from boakenya are subject to boakenyas email disclaimer,,,,
CRM Tool,03/12/2025 00:00,Service Web,Motor Vehicle,team assist to authorize cancellation due to a gap in cover so as to book new policy ticket reassigned to o,unknown,team assist to authorize cancellation due to a gap in cover so as to book new policy ticket reassigned to o,,,,
CRM Tool,06/11/2025 00:00,Service Web,Biashara/Micro Loans,share with us the below customer credit file to enable facility top up john mark mwangi gakure ta motor mark services cif accountnumber account no accountnumber send it to ongata rongai att credit manager,english,share with us the below customer credit file to enable facility top up john mark mwangi gakure ta motor mark services cif accountnumber account no accountnumber send it to ongata rongai att credit manager,,,,
CRM Tool,06/11/2025 00:00,Service Email,Mobile,nbsphelloam i cant access my accountdue to security questionsthank hou,unknown,i cant access my accountdue to security questionsthank hou,,,,
CRM Tool,09/11/2025 00:00,Service Email,Eazzy 247/USSD,i have complain days no respondingnbsp,unknown,i have complain days no responding,,,,
CRM Tool,21/11/2025 00:00,Service Web,One Month Loan,i am using this account for salary every month and know am not to aloan why,english,i am using this account for salary every month and know am not to aloan why,,,,
CRM Tool,06/11/2025 00:00,Service Email,Mobile,nbspname my is and im trying to register and open my mobile banking app and im getting annbsperror message that there is a change in my mobile number and im supposed to visit or call customernbspservice do inbspgo about this namenbsp accountnumber,english,my is and im trying to register and open my mobile banking app and im getting an message that there is a change in my mobile number and im supposed to visit or call customer do i about this name accountnumber,,,,
CRM Tool,27/11/2025 00:00,Service Email,Mobile,am not in the countrycan i use my current residence number or my airt,english,am not in the countrycan i use my current residence number or my airt,,,,
CRM Tool,28/11/2025 00:00,Service Web,Motor Vehicle,assist receipt and allocate id idnumber samson njau kariuki and rosemary wagatune amount date,english,assist receipt and allocate id idnumber samson njau kariuki and rosemary wagatune amount date,,,,
CRM Tool,10/11/2025 00:00,Service Web,Central Custody Unit (CCU),confirm if held kcy a,unknown,confirm if held kcy a,,,,
CRM Tool,24/11/2025 00:00,Service Email,Mobile,nbspname can i get my account balancenbsp,english,can i get my account balance,,,,
CRM Tool,29/11/2025 00:00,Service Web,Mobile,assist delete app user profile linked to account accountnumber for lydia ndunge samuel with id idnumber gives error customer has a profile with us and that they should login with existing credentials yet customer profile was not registered even with system registration,english,assist delete app user profile linked to account accountnumber for lydia ndunge samuel with id idnumber gives error customer has a profile with us and that they should login with existing credentials yet customer profile was not registered even with system registration,,,,
CRM Tool,15/11/2025 00:00,Service Email,Personal/Salary Loans,i made some inquiries about my account but forgot to indicate the account number which is accountnumber am email wrote id like to know what is happening with my account because deductions are being made every now and then as loan deductions but loan balances dont change i also wonder why make the deductions before the due datenbsp,english,i made some inquiries about my account but forgot to indicate the account number which is accountnumber am email wrote id like to know what is happening with my account because deductions are being made every now and then as loan deductions but loan balances dont change i also wonder why make the deductions before the due date,,,,
CRM Tool,24/11/2025 00:00,Service Web,Medical,update the second installment for,english,update the second installment for,,,,
CRM Tool,08/11/2025 00:00,Service Email,Western Union,receive the mtcn mtcn accountnumber regards imt amp avaya mob wnbspname email pm w email email email email imt support email email return funds to sender western union failed transaction namenbsp share the mtcn am unable to download the attachednbsp namenbsp and tnbsp ext nbspcell wnbspname nbspnbspnbspnbspnbspnbsp w email pm email email email email imt support email email return funds to sender western union failed transaction below amp assist t phone cellnbspaccountnumber wnbspname email pm email email w email imt support email re return funds to sender western union failed transaction w team rarely respond to our queries hence your support mob tell ext nbspnbsp namenbsp email email email imt support email return funds to sender western union failed transaction this done assist to know so that we can reply to customer as she is following up sospeter j masenyirelationship managerequity bank t ltdmbeya branch nhc lupa way uhindini street p o mbeyamobile ext ename email email pm email imt support email email return funds to sender western union failed transaction assist with refunding back the money to on as the transaction failed to other banks due to mismatch mob tell ext nbspnbsp namenbsp email email imt support email return western union sospeter j masenyirelationship managerequity bank t ltdmbeya branch nhc lupa way uhindini street p o mbeyamobile ext ename email namenbspname namenbspname pm namenbspimt support email namenbspname r email email email namenbspreturn western union team assist to confirm if the fund as per attachment was returned to sender so that we can reply to the customer sospeter j masenyirelationship managerequity bank t ltdmbeya branch nhc lupa way uhindini street p o mbeyamobile ext ename email,english,receive the mtcn accountnumber regards imt amp avaya mob w email pm w email imt support email return funds to sender western union failed transaction name share the mtcn am unable to download the attached name and t ext w w email pm email imt support email return funds to sender western union failed transaction below amp assist t phone cell w email pm email w email imt support email re return funds to sender western union failed transaction w team rarely respond to our queries hence your support mob tell ext name email imt support email return funds to sender western union failed transaction this done assist to know so that we can reply to customer as she is following up sospeter j masenyirelationship managerequity bank t ltdmbeya branch nhc lupa way uhindini street p o mbeyamobile ext ename email pm email imt support email return funds to sender western union failed transaction assist with refunding back the money to on as the transaction failed to other banks due to mismatch mob tell ext name email imt support email return western union sospeter j masenyirelationship managerequity bank t ltdmbeya branch nhc lupa way uhindini street p o mbeyamobile ext ename email name name pm name support email name r email name western union team assist to confirm if the fund as per attachment was returned to sender so that we can reply to the customer sospeter j masenyirelationship managerequity bank t ltdmbeya branch nhc lupa way uhindini street p o mbeyamobile ext ename email,,,,
CRM Tool,28/11/2025 00:00,Service Email,Mobile,i need to know my password to open up my account,english,i need to know my password to open up my account,,,,
CRM Tool,03/12/2025 00:00,Service Email,Mobile,accountnumber anna katumbi email wrote is the account number email wrote,english,accountnumber anna katumbi email wrote is the account number email wrote,,,,
CRM Tool,04/11/2025 00:00,Service Email,Western Union,proceed k extnbspnbsp nbspcell nbspphone wnbspname nbspnbspnbspnbspnbsp fabek rongai email k email,unknown,proceed k ext w fabek rongai email k email,,,,
CRM Tool,29/11/2025 00:00,Service Email,Mobile,i experience difficulties in withdrawing funds from the accountnbsp assist idnumber,english,i experience difficulties in withdrawing funds from the account assist idnumber,,,,
Google Store,30/09/2025 00:00,google store reviews,ios mobile banking app,very good and fast,english,very good and fast,,,,
CRM Tool,05/12/2025 00:00,Service Web,Card Production,assist to print the proprietor card for this staff account he already have premium card account jean paul account no accountnumber,english,assist to print the proprietor card for this staff account he already have premium card account jean paul account no accountnumber,,,,
CRM Tool,18/11/2025 00:00,Service Email,Merchant Payments and Settlements,reverse thenbspbelow kikuyu xx xxx,unknown,reverse the kikuyu xx xxx,,,,
CRM Tool,29/11/2025 00:00,Service Email,PWE/BILLER Transactions,namename namenbsp you for your continued support on mpesa verify and reverse the payment below reported as erroneous you can reply to this mail giving us authority to reverse the amount back to customer mpesa plc p o namenbsp phone email or email c,english,namename name you for your continued support on mpesa verify and reverse the payment below reported as erroneous you can reply to this mail giving us authority to reverse the amount back to customer mpesa plc p o name phone email or email c,,,,
CRM Tool,16/11/2025 00:00,Service Email,Mobile,nbspname can you please help me recover my password pleasenbsp,unknown,can you please help me recover my password please,,,,
CRM Tool,27/11/2025 00:00,Service Web,Merchant Payments and Settlements,merchant claims that the below transaction was not settled to their account assist check merchant captain heykal ventures limited transaction datename amount rrn accountnumber,english,merchant claims that the below transaction was not settled to their account assist check merchant captain heykal ventures limited transaction datename amount rrn accountnumber,,,,
CRM Tool,04/12/2025 00:00,Service Email,Mobile,namet log in to my equitel mobile appnbsp,unknown,namet log in to my equitel mobile app,,,,
CRM Tool,30/11/2025 00:00,Service Email,One Month Loan,nameam listed on crb and yet i already paid the money i had borrowednbsp,english,nameam listed on crb and yet i already paid the money i had borrowed,,,,
CRM Tool,03/12/2025 00:00,Service Web,Central Custody Unit (CCU),security confirmation for property l r kdjx for original title valuation and charge cif no accountnumber,english,security confirmation for property l r kdjx for original title valuation and charge cif no accountnumber,,,,
CRM Tool,02/12/2025 00:00,Service Email,Credit CRB,nbspname u didnt update my crb status on your system as u had promisednbsp,unknown,u didnt update my crb status on your system as u had promised,,,,
CRM Tool,25/11/2025 00:00,Service Web,Motor Vehicle,receipt and allocate premiums id s date,english,receipt and allocate premiums id s date,,,,
CRM Tool,27/11/2025 00:00,Service Web,Card Authorization and Risk,authorise the amendment of the transaction limit for the client below to for retail purchases for the next two days agnes njambi githinji accountnumber xxx xxx pidnumber,english,authorise the amendment of the transaction limit for the client below to for retail purchases for the next two days agnes njambi githinji accountnumber xxx pidnumber,,,,
CRM Tool,20/11/2025 00:00,Service Email,Mobile,nbspname i wanted help about mobile banking activationnbsp,unknown,i wanted help about mobile banking activation,,,,
Google Store,11/10/2025 00:00,google store reviews,ios mobile banking app,quick customer service efficient way,unknown,quick customer service efficient way,,,,
CRM Tool,18/11/2025 00:00,Service Email,Personal/Salary Loans,my is george k waweru am a civil servant for ministry of interior an national admistration state department of inernal security i wish to pply for a loan of kassist,english,my is george k waweru am a civil servant for ministry of interior an national admistration state department of inernal security i wish to pply for a loan of kassist,,,,
Google Store,02/02/2026 00:00,google store reviews,ios mobile banking app,new update had a problem the sms confirmation never works and the alternatives dont load,english,new update had a problem the sms confirmation never works and the alternatives dont load,,,,
CRM Tool,08/11/2025 00:00,Service Email,PWE/BILLER Transactions,i authorized reversal for the below traction im out of the country and i am not able to access the funds since i dont have my visa card or internet banking tklfjb ksh sent to for account accountnumber on at pmnbsp id number idnumber idnumber,english,i authorized reversal for the below traction im out of the country and i am not able to access the funds since i dont have my visa card or internet banking tklfjb ksh sent to for account accountnumber on at pm id number idnumber,,,,
CRM Tool,24/11/2025 00:00,Service Email,EazzyBiz,share the supporting document namenbspname tnbsp nbspnbsp ext nbspcell wnbspname nbspnbspnbspnbspnbspnbsp email pm eazzybiz email support documents nbspname for ofnbsp nbspname i am writing to formally request the payment of the following one sums amount of nbspkesnbsppayment for subcontracting supporting documents are attached are supporting documents you for your prompt attention to this matter i look forward to your confirmation of the payment arrangement regards he qisong,english,share the supporting document name t ext w email pm eazzybiz email support documents for of i am writing to formally request the payment of the following one sums amount of for subcontracting supporting documents are attached are supporting documents you for your prompt attention to this matter i look forward to your confirmation of the payment arrangement regards he qisong,,,,
CRM Tool,03/12/2025 00:00,Service Email,Mobile,nbspname mobile app its not working,unknown,mobile app its not working,,,,
CRM Tool,12/11/2025 00:00,Service Web,Onboarding & Customer Setup,cash cloud activation three crown academy cifaccountnumber email,unknown,cash cloud activation three crown academy cifaccountnumber email,,,,
