review,rating,date,app_version
"I’ve downloaded various versions of your app, like four or five. Never had a seamless experience. Last time I was told someone will call to finish set up. Two months never got a call back.  Now downloaded this new one and still, we can’t complete the process. I have given up officially.  You’re paying app developers for nothing. Useless and annoying that’s all it is.",5,2022-03-28T09:35:32-07:00,0.0.6
I’m unable to login despite giving the right password,1,2022-03-22T04:15:37-07:00,0.0.6
Is doesn’t even get past the password,1,2022-03-17T21:42:34-07:00,0.0.5
"unable to login, doesn’t send otp codes. The number to verify is not mine.",1,2022-03-16T06:49:35-07:00,0.0.5
"Please enable one to toggle displaying bank balances after logging in. You might be with people you don’t want them to see your bank balances the after logging in, BOOM! make it in the settings such that i can choose whether to display my balances or not after logging in. Same case applies to “My Accounts and Card” section. Those balances shouldn’t just be seen by default. That would be great",3,2022-03-09T01:00:34-07:00,0.0.5
"I only successfully logged in the fist time I signed up. After that, I am not able to log in. Worst mobile banking app ever!",1,2022-03-07T17:13:47-07:00,0.0.5
No,1,2022-01-29T02:47:31-07:00,0.0.4
"Worst mobile app ever
Answer security questions correctly refuses to give you access to your account
Till number section doesn’t even work and the response from the customer care center is pathetic",2,2021-12-24T02:06:02-07:00,0.0.4
"I’m having the worst experience with this app 
Send money doesn’t have any drop down options and after I tried login in, it doesn’t recognize the password 
The Face ID feature is also not working 🥲🥵",1,2021-12-17T04:21:06-07:00,0.0.4
It would be great to have atleast a preview of the last 5 or 6 transactions in a transactions page....otherwise the app is excellent,3,2021-11-12T03:36:29-07:00,0.0.4
Great app! Much bigger improvements from the Eazzybanking app.,5,2021-11-09T06:06:24-07:00,0.0.4
"App not developed with professionalism,
it is like it was not being tested before publishing.
cannot login at any time.
During registration it kept opening so many pages.",1,2021-11-03T08:38:16-07:00,1.0.2
"It worked really well when I installed it and maybe one more time. I even deleted the useless eazzy banking app thinking this was better but after the first time I cannot even login. I get that annoying error. I cannot use face id with it, it asks for password even after face id. Basically, it's useless as of now since I can't login or use the app. I'm back to the ussd code, which sucks. Just fix the app, it should be usable at the very minimum. Or take it down altogether because it's useless.",1,2021-10-26T01:34:14-07:00,1.0.2
"This app is awful. It has only worked in the 5 months since I installed it. It was good for those 10 minutes while it lasted. But what's the point if you can never get past the log in page? It keeps giving an error 'something went wrong blah blah'.. Unless the bugs are fixed, this is not worth your time",1,2021-10-19T11:16:15-07:00,1.0.2
I regret using equity none of the mobile banking app works the customer service is really slow I’ve called them  50 times and my issue has not been resolved once I’m able to access my mobile banking I’m leaving equity fir good it’s been two whole months of frustrations,1,2021-10-12T03:22:10-07:00,1.0.2
"I can’t even log in, sometimes verification codes are never sent.",1,2021-10-03T01:24:26-07:00,1.0.2
"The low average rating of this app should tell you everything. Unable to login after multiple attempts, keeps showing generic error messages. Support is horrible: several detailed emails later and no resolution yet. It's 2021, a functional mobile app should be the bare minimum for any bank that cares about its clients.",1,2021-10-01T10:58:30-07:00,1.0.2
"Their banking system is always being upgraded 
It works once a week by chance ;
And you need the strongest Internet to actually access it",1,2021-10-01T06:43:38-07:00,1.0.2
"Managed to sign up but not able to login! Keeps throwing generic error: Something went wrong...
Please sort out basic functionalities and bugs before publishing on the store 😾",1,2021-09-28T03:27:29-07:00,1.0.2
Can’t seem to log in because it says something went wrong,1,2021-09-25T08:41:28-07:00,1.0.2
Unfortunately I can’t register. Every time I try I get an error that something is not working please try a moment later.,1,2021-09-08T05:03:14-07:00,1.0.2
Hey when i try accessing the app it keeps on saying something went wrong try again later and i use mu touch id and the password too none of them work,5,2021-09-05T10:07:56-07:00,1.0.2
I’m having a hard time trying to log into my account using my iPhone but successfully login using my android device even after several attempts using the same password. I keep getting an email that new device has signed into my account but practically the app throws an error that something went wrong. Check on that!,2,2021-08-25T02:43:26-07:00,1.0.2
"I was able to login to the app only once when I downloaded it. I keep getting the error 
“Something went wrong. Ot seems we are having an issue getting you connected. Please give it a moment and try again” when ai try to log in.",1,2021-08-19T02:47:42-07:00,1.0.2
This app is amazing compared to the other one that doesn’t work on IOS. The only issue I have with it is the option of writing digits when you want to send money via M-PESA it refuse to work so basically I just save the contact first and proceed. But overall I like this app,3,2021-08-10T07:52:32-07:00,1.0.2
I can't log into the app almost 70% of the time. It gets annoying because am required to give it a password every time I leave the app,3,2021-08-06T23:46:26-07:00,1.0.2
OTP not being received on thr pay bills option but being received on mobile transfer.,5,2021-07-27T22:14:01-07:00,1.0.1
"Nice UI, but why I can’t select an option to get verified? 
I input my phone number and mobile banking pin and still goes back to verify screen.",5,2021-07-22T06:28:14-07:00,1.0.1
An absolutely amazing new age app. Well done Equity bank.,5,2021-07-22T03:23:06-07:00,1.0.1
